Вид массива;Метод сортировки;Размер массива;Время(нс)
обратно отсорт.;сортировка Шелла(посл.Шелла);300;7705
обратно отсорт.;пузырек(обычный);400;651683
обратно отсорт.;пузырек(айверсон-1);400;637703
обратно отсорт.;пузырек(айверсон-2);400;540763
обратно отсорт.;сортировка выбором;400;105115
обратно отсорт.;сортировка простыми вставками;400;118956
обратно отсорт.;сортировка бинарными вставками;400;96929
обратно отсорт.;сортировка подсчетом;400;9573
обратно отсорт.;цифровая сортировка;400;9521
обратно отсорт.;сортировка слиянием;400;62566
обратно отсорт.;быстрая сортировка;400;168990
обратно отсорт.;пирамидальная сортировка;400;43418
обратно отсорт.;сортировка Шелла(посл.Шелла);400;10271
обратно отсорт.;пузырек(обычный);500;1008303
обратно отсорт.;пузырек(айверсон-1);500;991088
обратно отсорт.;пузырек(айверсон-2);500;852466
обратно отсорт.;сортировка выбором;500;159788
обратно отсорт.;сортировка простыми вставками;500;185016
обратно отсорт.;сортировка бинарными вставками;500;147616
обратно отсорт.;сортировка подсчетом;500;10434
обратно отсорт.;цифровая сортировка;500;11535
обратно отсорт.;сортировка слиянием;500;79120
обратно отсорт.;быстрая сортировка;500;260473
обратно отсорт.;пирамидальная сортировка;500;56466
обратно отсорт.;сортировка Шелла(посл.Шелла);500;13573
обратно отсорт.;пузырек(обычный);600;1452401
обратно отсорт.;пузырек(айверсон-1);600;1427161
обратно отсорт.;пузырек(айверсон-2);600;1218940
обратно отсорт.;сортировка выбором;600;223288
обратно отсорт.;сортировка простыми вставками;600;269056
обратно отсорт.;сортировка бинарными вставками;600;204473
обратно отсорт.;сортировка подсчетом;600;10556
обратно отсорт.;цифровая сортировка;600;13584
обратно отсорт.;сортировка слиянием;600;98421
обратно отсорт.;быстрая сортировка;600;370571
обратно отсорт.;пирамидальная сортировка;600;70568
обратно отсорт.;сортировка Шелла(посл.Шелла);600;17408
обратно отсорт.;пузырек(обычный);700;1971181
обратно отсорт.;пузырек(айверсон-1);700;1938690
обратно отсорт.;пузырек(айверсон-2);700;1660866
обратно отсорт.;сортировка выбором;700;299206
обратно отсорт.;сортировка простыми вставками;700;364288
обратно отсорт.;сортировка бинарными вставками;700;274939
обратно отсорт.;сортировка подсчетом;700;11121
обратно отсорт.;цифровая сортировка;700;16384
обратно отсорт.;сортировка слиянием;700;112731
обратно отсорт.;быстрая сортировка;700;503150
обратно отсорт.;пирамидальная сортировка;700;85293
обратно отсорт.;сортировка Шелла(посл.Шелла);700;21683
обратно отсорт.;пузырек(обычный);800;2584824
обратно отсорт.;пузырек(айверсон-1);800;2561605
обратно отсорт.;пузырек(айверсон-2);800;2169808
обратно отсорт.;сортировка выбором;800;387328
обратно отсорт.;сортировка простыми вставками;800;470223
обратно отсорт.;сортировка бинарными вставками;800;354013
обратно отсорт.;сортировка подсчетом;800;11855
обратно отсорт.;цифровая сортировка;800;17533
обратно отсорт.;сортировка слиянием;800;129760
обратно отсорт.;быстрая сортировка;800;651513
обратно отсорт.;пирамидальная сортировка;800;101456
обратно отсорт.;сортировка Шелла(посл.Шелла);800;23256
обратно отсорт.;пузырек(обычный);900;3260684
обратно отсорт.;пузырек(айверсон-1);900;3216241
обратно отсорт.;пузырек(айверсон-2);900;2743880
обратно отсорт.;сортировка выбором;900;484408
обратно отсорт.;сортировка простыми вставками;900;596133
обратно отсорт.;сортировка бинарными вставками;900;439118
обратно отсорт.;сортировка подсчетом;900;12049
обратно отсорт.;цифровая сортировка;900;19429
обратно отсорт.;сортировка слиянием;900;150320
обратно отсорт.;быстрая сортировка;900;827276
обратно отсорт.;пирамидальная сортировка;900;115848
обратно отсорт.;сортировка Шелла(посл.Шелла);900;28708
обратно отсорт.;пузырек(обычный);1000;4025308
обратно отсорт.;пузырек(айверсон-1);1000;3962046
обратно отсорт.;пузырек(айверсон-2);1000;3389478
обратно отсорт.;сортировка выбором;1000;595764
обратно отсорт.;сортировка простыми вставками;1000;740144
обратно отсорт.;сортировка бинарными вставками;1000;535745
обратно отсорт.;сортировка подсчетом;1000;12529
обратно отсорт.;цифровая сортировка;1000;21401
обратно отсорт.;сортировка слиянием;1000;164906
обратно отсорт.;быстрая сортировка;1000;1017030
обратно отсорт.;пирамидальная сортировка;1000;132564
обратно отсорт.;сортировка Шелла(посл.Шелла);1000;31695
обратно отсорт.;пузырек(обычный);1100;4901703
обратно отсорт.;пузырек(айверсон-1);1100;4783823
обратно отсорт.;пузырек(айверсон-2);1100;4097723
обратно отсорт.;сортировка выбором;1100;718231
обратно отсорт.;сортировка простыми вставками;1100;886091
обратно отсорт.;сортировка бинарными вставками;1100;652115
обратно отсорт.;сортировка подсчетом;1100;14120
обратно отсорт.;цифровая сортировка;1100;23496
обратно отсорт.;сортировка слиянием;1100;188108
обратно отсорт.;быстрая сортировка;1100;1233499
обратно отсорт.;пирамидальная сортировка;1100;147994
обратно отсорт.;сортировка Шелла(посл.Шелла);1100;34965
обратно отсорт.;пузырек(обычный);1200;5790354
обратно отсорт.;пузырек(айверсон-1);1200;5704571
обратно отсорт.;пузырек(айверсон-2);1200;4882364
обратно отсорт.;сортировка выбором;1200;851836
обратно отсорт.;сортировка простыми вставками;1200;1054649
обратно отсорт.;сортировка бинарными вставками;1200;764308
обратно отсорт.;сортировка подсчетом;1200;14186
обратно отсорт.;цифровая сортировка;1200;25346
обратно отсорт.;сортировка слиянием;1200;202885
обратно отсорт.;быстрая сортировка;1200;1460566
обратно отсорт.;пирамидальная сортировка;1200;164471
обратно отсорт.;сортировка Шелла(посл.Шелла);1200;38746
обратно отсорт.;пузырек(обычный);1300;6818726
обратно отсорт.;пузырек(айверсон-1);1300;6689456
обратно отсорт.;пузырек(айверсон-2);1300;5726093
обратно отсорт.;сортировка выбором;1300;998801
обратно отсорт.;сортировка простыми вставками;1300;1239113
обратно отсорт.;сортировка бинарными вставками;1300;895661
обратно отсорт.;сортировка подсчетом;1300;15906
обратно отсорт.;цифровая сортировка;1300;28048
обратно отсорт.;сортировка слиянием;1300;221838
обратно отсорт.;быстрая сортировка;1300;1718380
обратно отсорт.;пирамидальная сортировка;1300;180646
обратно отсорт.;сортировка Шелла(посл.Шелла);1300;43176
обратно отсорт.;пузырек(обычный);1400;7882061
обратно отсорт.;пузырек(айверсон-1);1400;7772191
обратно отсорт.;пузырек(айверсон-2);1400;6637800
обратно отсорт.;сортировка выбором;1400;1149008
обратно отсорт.;сортировка простыми вставками;1400;1441266
обратно отсорт.;сортировка бинарными вставками;1400;1022020
обратно отсорт.;сортировка подсчетом;1400;15923
обратно отсорт.;цифровая сортировка;1400;29308
обратно отсорт.;сортировка слиянием;1400;239223
обратно отсорт.;быстрая сортировка;1400;1981075
обратно отсорт.;пирамидальная сортировка;1400;197211
обратно отсорт.;сортировка Шелла(посл.Шелла);1400;46188
обратно отсорт.;пузырек(обычный);1500;9043826
обратно отсорт.;пузырек(айверсон-1);1500;8900734
обратно отсорт.;пузырек(айверсон-2);1500;7648963
обратно отсорт.;сортировка выбором;1500;1329266
обратно отсорт.;сортировка простыми вставками;1500;1645020
обратно отсорт.;сортировка бинарными вставками;1500;1166986
обратно отсорт.;сортировка подсчетом;1500;15768
обратно отсорт.;цифровая сортировка;1500;31653
обратно отсорт.;сортировка слиянием;1500;261901
обратно отсорт.;быстрая сортировка;1500;2272784
обратно отсорт.;пирамидальная сортировка;1500;216023
обратно отсорт.;сортировка Шелла(посл.Шелла);1500;50373
обратно отсорт.;пузырек(обычный);1600;10287705
обратно отсорт.;пузырек(айверсон-1);1600;10122388
обратно отсорт.;пузырек(айверсон-2);1600;8703038
обратно отсорт.;сортировка выбором;1600;1500138
обратно отсорт.;сортировка простыми вставками;1600;1870903
обратно отсорт.;сортировка бинарными вставками;1600;1324660
обратно отсорт.;сортировка подсчетом;1600;16731
обратно отсорт.;цифровая сортировка;1600;33933
обратно отсорт.;сортировка слиянием;1600;275206
обратно отсорт.;быстрая сортировка;1600;2602810
обратно отсорт.;пирамидальная сортировка;1600;229544
обратно отсорт.;сортировка Шелла(посл.Шелла);1600;52678
обратно отсорт.;пузырек(обычный);1700;11607488
обратно отсорт.;пузырек(айверсон-1);1700;11411273
обратно отсорт.;пузырек(айверсон-2);1700;9803696
обратно отсорт.;сортировка выбором;1700;1704341
обратно отсорт.;сортировка простыми вставками;1700;2112653
обратно отсорт.;сортировка бинарными вставками;1700;1485671
обратно отсорт.;сортировка подсчетом;1700;16828
обратно отсорт.;цифровая сортировка;1700;36211
обратно отсорт.;сортировка слиянием;1700;294631
обратно отсорт.;быстрая сортировка;1700;2913061
обратно отсорт.;пирамидальная сортировка;1700;250506
обратно отсорт.;сортировка Шелла(посл.Шелла);1700;56610
обратно отсорт.;пузырек(обычный);1800;13004596
обратно отсорт.;пузырек(айверсон-1);1800;12854941
обратно отсорт.;пузырек(айверсон-2);1800;10965543
обратно отсорт.;сортировка выбором;1800;1917788
обратно отсорт.;сортировка простыми вставками;1800;2371773
обратно отсорт.;сортировка бинарными вставками;1800;1664176
обратно отсорт.;сортировка подсчетом;1800;19758
обратно отсорт.;цифровая сортировка;1800;37509
обратно отсорт.;сортировка слиянием;1800;313863
обратно отсорт.;быстрая сортировка;1800;3270223
обратно отсорт.;пирамидальная сортировка;1800;264236
обратно отсорт.;сортировка Шелла(посл.Шелла);1800;61209
обратно отсорт.;пузырек(обычный);1900;14524211
обратно отсорт.;пузырек(айверсон-1);1900;14271691
обратно отсорт.;пузырек(айверсон-2);1900;12215684
обратно отсорт.;сортировка выбором;1900;2118795
обратно отсорт.;сортировка простыми вставками;1900;2655223
обратно отсорт.;сортировка бинарными вставками;1900;1850008
обратно отсорт.;сортировка подсчетом;1900;19829
обратно отсорт.;цифровая сортировка;1900;39666
обратно отсорт.;сортировка слиянием;1900;328640
обратно отсорт.;быстрая сортировка;1900;3635554
обратно отсорт.;пирамидальная сортировка;1900;284275
обратно отсорт.;сортировка Шелла(посл.Шелла);1900;64668
обратно отсорт.;пузырек(обычный);2000;16058053
обратно отсорт.;пузырек(айверсон-1);2000;15814473
обратно отсорт.;пузырек(айверсон-2);2000;13552533
обратно отсорт.;сортировка выбором;2000;2348378
обратно отсорт.;сортировка простыми вставками;2000;2916086
обратно отсорт.;сортировка бинарными вставками;2000;2035803
обратно отсорт.;сортировка подсчетом;2000;19773
обратно отсорт.;цифровая сортировка;2000;41436
обратно отсорт.;сортировка слиянием;2000;351309
обратно отсорт.;быстрая сортировка;2000;4026791
обратно отсорт.;пирамидальная сортировка;2000;298698
обратно отсорт.;сортировка Шелла(посл.Шелла);2000;67914
обратно отсорт.;пузырек(обычный);2100;17719670
обратно отсорт.;пузырек(айверсон-1);2100;17450910
обратно отсорт.;пузырек(айверсон-2);2100;14969398
обратно отсорт.;сортировка выбором;2100;2611563
обратно отсорт.;сортировка простыми вставками;2100;3212141
обратно отсорт.;сортировка бинарными вставками;2100;2234440
обратно отсорт.;сортировка подсчетом;2100;19215
обратно отсорт.;цифровая сортировка;2100;43825
обратно отсорт.;сортировка слиянием;2100;368068
обратно отсорт.;быстрая сортировка;2100;4445125
обратно отсорт.;пирамидальная сортировка;2100;314843
обратно отсорт.;сортировка Шелла(посл.Шелла);2100;74521
обратно отсорт.;пузырек(обычный);2200;19459876
обратно отсорт.;пузырек(айверсон-1);2200;19112683
обратно отсорт.;пузырек(айверсон-2);2200;16416079
обратно отсорт.;сортировка выбором;2200;2852168
обратно отсорт.;сортировка простыми вставками;2200;3524831
обратно отсорт.;сортировка бинарными вставками;2200;2446303
обратно отсорт.;сортировка подсчетом;2200;19556
обратно отсорт.;цифровая сортировка;2200;46169
обратно отсорт.;сортировка слиянием;2200;390543
обратно отсорт.;быстрая сортировка;2200;4870194
обратно отсорт.;пирамидальная сортировка;2200;336330
обратно отсорт.;сортировка Шелла(посл.Шелла);2200;77950
обратно отсорт.;пузырек(обычный);2300;21262556
обратно отсорт.;пузырек(айверсон-1);2300;20903081
обратно отсорт.;пузырек(айверсон-2);2300;17936803
обратно отсорт.;сортировка выбором;2300;3113601
обратно отсорт.;сортировка простыми вставками;2300;3846701
обратно отсорт.;сортировка бинарными вставками;2300;2683953
обратно отсорт.;сортировка подсчетом;2300;22233
обратно отсорт.;цифровая сортировка;2300;47791
обратно отсорт.;сортировка слиянием;2300;409148
обратно отсорт.;быстрая сортировка;2300;5322551
обратно отсорт.;пирамидальная сортировка;2300;354088
обратно отсорт.;сортировка Шелла(посл.Шелла);2300;86048
обратно отсорт.;пузырек(обычный);2400;23154739
обратно отсорт.;пузырек(айверсон-1);2400;22754121
обратно отсорт.;пузырек(айверсон-2);2400;19540846
обратно отсорт.;сортировка выбором;2400;3406220
обратно отсорт.;сортировка простыми вставками;2400;4194686
обратно отсорт.;сортировка бинарными вставками;2400;2900060
обратно отсорт.;сортировка подсчетом;2400;22426
обратно отсорт.;цифровая сортировка;2400;49906
обратно отсорт.;сортировка слиянием;2400;427841
обратно отсорт.;быстрая сортировка;2400;5793443
обратно отсорт.;пирамидальная сортировка;2400;367371
обратно отсорт.;сортировка Шелла(посл.Шелла);2400;85971
обратно отсорт.;пузырек(обычный);2500;25125134
обратно отсорт.;пузырек(айверсон-1);2500;24729980
обратно отсорт.;пузырек(айверсон-2);2500;21173423
обратно отсорт.;сортировка выбором;2500;3701101
обратно отсорт.;сортировка простыми вставками;2500;4569743
обратно отсорт.;сортировка бинарными вставками;2500;3152306
обратно отсорт.;сортировка подсчетом;2500;22395
обратно отсорт.;цифровая сортировка;2500;51941
обратно отсорт.;сортировка слиянием;2500;449721
обратно отсорт.;быстрая сортировка;2500;6287079
обратно отсорт.;пирамидальная сортировка;2500;385683
обратно отсорт.;сортировка Шелла(посл.Шелла);2500;91273
обратно отсорт.;пузырек(обычный);2600;27163573
обратно отсорт.;пузырек(айверсон-1);2600;26717970
обратно отсорт.;пузырек(айверсон-2);2600;22912531
обратно отсорт.;сортировка выбором;2600;4042916
обратно отсорт.;сортировка простыми вставками;2600;4911686
обратно отсорт.;сортировка бинарными вставками;2600;3389444
обратно отсорт.;сортировка подсчетом;2600;23253
обратно отсорт.;цифровая сортировка;2600;54388
обратно отсорт.;сортировка слиянием;2600;466333
обратно отсорт.;быстрая сортировка;2600;6791628
обратно отсорт.;пирамидальная сортировка;2600;401278
обратно отсорт.;сортировка Шелла(посл.Шелла);2600;95215
обратно отсорт.;пузырек(обычный);2700;29279698
обратно отсорт.;пузырек(айверсон-1);2700;28816345
обратно отсорт.;пузырек(айверсон-2);2700;24714513
обратно отсорт.;сортировка выбором;2700;4308781
обратно отсорт.;сортировка простыми вставками;2700;5304833
обратно отсорт.;сортировка бинарными вставками;2700;3648481
обратно отсорт.;сортировка подсчетом;2700;25780
обратно отсорт.;цифровая сортировка;2700;56410
обратно отсорт.;сортировка слиянием;2700;486395
обратно отсорт.;быстрая сортировка;2700;7334210
обратно отсорт.;пирамидальная сортировка;2700;420570
обратно отсорт.;сортировка Шелла(посл.Шелла);2700;97943
обратно отсорт.;пузырек(обычный);2800;31491688
обратно отсорт.;пузырек(айверсон-1);2800;30984035
обратно отсорт.;пузырек(айверсон-2);2800;26551226
обратно отсорт.;сортировка выбором;2800;4652726
обратно отсорт.;сортировка простыми вставками;2800;5703780
обратно отсорт.;сортировка бинарными вставками;2800;3912834
обратно отсорт.;сортировка подсчетом;2800;23239
обратно отсорт.;цифровая сортировка;2800;58036
обратно отсорт.;сортировка слиянием;2800;507710
обратно отсорт.;быстрая сортировка;2800;7886286
обратно отсорт.;пирамидальная сортировка;2800;442084
обратно отсорт.;сортировка Шелла(посл.Шелла);2800;102524
обратно отсорт.;пузырек(обычный);2900;33815161
обратно отсорт.;пузырек(айверсон-1);2900;33410626
обратно отсорт.;пузырек(айверсон-2);2900;28480105
обратно отсорт.;сортировка выбором;2900;5011946
обратно отсорт.;сортировка простыми вставками;2900;6119013
обратно отсорт.;сортировка бинарными вставками;2900;4192520
обратно отсорт.;сортировка подсчетом;2900;23594
обратно отсорт.;цифровая сортировка;2900;59971
обратно отсорт.;сортировка слиянием;2900;527233
обратно отсорт.;быстрая сортировка;2900;8465811
обратно отсорт.;пирамидальная сортировка;2900;456538
обратно отсорт.;сортировка Шелла(посл.Шелла);2900;108508
обратно отсорт.;пузырек(обычный);3000;36136408
обратно отсорт.;пузырек(айверсон-1);3000;35587425
обратно отсорт.;пузырек(айверсон-2);3000;30492996
обратно отсорт.;сортировка выбором;3000;5382905
обратно отсорт.;сортировка простыми вставками;3000;6533365
обратно отсорт.;сортировка бинарными вставками;3000;4493445
обратно отсорт.;сортировка подсчетом;3000;23686
обратно отсорт.;цифровая сортировка;3000;62436
обратно отсорт.;сортировка слиянием;3000;536981
обратно отсорт.;быстрая сортировка;3000;9034663
обратно отсорт.;пирамидальная сортировка;3000;474006
обратно отсорт.;сортировка Шелла(посл.Шелла);3000;111400
обратно отсорт.;пузырек(обычный);3100;38591463
обратно отсорт.;пузырек(айверсон-1);3100;37966240
обратно отсорт.;пузырек(айверсон-2);3100;32538753
обратно отсорт.;сортировка выбором;3100;5726556
обратно отсорт.;сортировка простыми вставками;3100;6997836
обратно отсорт.;сортировка бинарными вставками;3100;4776853
обратно отсорт.;сортировка подсчетом;3100;28421
обратно отсорт.;цифровая сортировка;3100;65551
обратно отсорт.;сортировка слиянием;3100;562215
обратно отсорт.;быстрая сортировка;3100;10303230
обратно отсорт.;пирамидальная сортировка;3100;498981
обратно отсорт.;сортировка Шелла(посл.Шелла);3100;112745
обратно отсорт.;пузырек(обычный);3200;41141248
обратно отсорт.;пузырек(айверсон-1);3200;40539848
обратно отсорт.;пузырек(айверсон-2);3200;34682311
обратно отсорт.;сортировка выбором;3200;6121696
обратно отсорт.;сортировка простыми вставками;3200;7471111
обратно отсорт.;сортировка бинарными вставками;3200;5083581
обратно отсорт.;сортировка подсчетом;3200;23530
обратно отсорт.;цифровая сортировка;3200;66303
обратно отсорт.;сортировка слиянием;3200;584710
обратно отсорт.;быстрая сортировка;3200;10283201
обратно отсорт.;пирамидальная сортировка;3200;508728
обратно отсорт.;сортировка Шелла(посл.Шелла);3200;115585
обратно отсорт.;пузырек(обычный);3300;43784814
обратно отсорт.;пузырек(айверсон-1);3300;43062206
обратно отсорт.;пузырек(айверсон-2);3300;36973595
обратно отсорт.;сортировка выбором;3300;6556623
обратно отсорт.;сортировка простыми вставками;3300;7918923
обратно отсорт.;сортировка бинарными вставками;3300;5401046
обратно отсорт.;сортировка подсчетом;3300;27258
обратно отсорт.;цифровая сортировка;3300;68935
обратно отсорт.;сортировка слиянием;3300;605741
обратно отсорт.;быстрая сортировка;3300;10929944
обратно отсорт.;пирамидальная сортировка;3300;529881
обратно отсорт.;сортировка Шелла(посл.Шелла);3300;126781
обратно отсорт.;пузырек(обычный);3400;46414625
обратно отсорт.;пузырек(айверсон-1);3400;45731238
обратно отсорт.;пузырек(айверсон-2);3400;39155816
обратно отсорт.;сортировка выбором;3400;6928578
обратно отсорт.;сортировка простыми вставками;3400;8406443
обратно отсорт.;сортировка бинарными вставками;3400;5748683
обратно отсорт.;сортировка подсчетом;3400;24751
обратно отсорт.;цифровая сортировка;3400;70270
обратно отсорт.;сортировка слиянием;3400;629853
обратно отсорт.;быстрая сортировка;3400;11619558
обратно отсорт.;пирамидальная сортировка;3400;547355
обратно отсорт.;сортировка Шелла(посл.Шелла);3400;126551
обратно отсорт.;пузырек(обычный);3500;49222535
обратно отсорт.;пузырек(айверсон-1);3500;48472928
обратно отсорт.;пузырек(айверсон-2);3500;41526271
обратно отсорт.;сортировка выбором;3500;7403395
обратно отсорт.;сортировка простыми вставками;3500;8881393
обратно отсорт.;сортировка бинарными вставками;3500;6124748
обратно отсорт.;сортировка подсчетом;3500;24791
обратно отсорт.;цифровая сортировка;3500;74201
обратно отсорт.;сортировка слиянием;3500;643311
обратно отсорт.;быстрая сортировка;3500;12330986
обратно отсорт.;пирамидальная сортировка;3500;574093
обратно отсорт.;сортировка Шелла(посл.Шелла);3500;129323
обратно отсорт.;пузырек(обычный);3600;52093066
обратно отсорт.;пузырек(айверсон-1);3600;51305798
обратно отсорт.;пузырек(айверсон-2);3600;43976414
обратно отсорт.;сортировка выбором;3600;7841168
обратно отсорт.;сортировка простыми вставками;3600;9406650
обратно отсорт.;сортировка бинарными вставками;3600;6468416
обратно отсорт.;сортировка подсчетом;3600;27148
обратно отсорт.;цифровая сортировка;3600;73990
обратно отсорт.;сортировка слиянием;3600;664126
обратно отсорт.;быстрая сортировка;3600;13025405
обратно отсорт.;пирамидальная сортировка;3600;583798
обратно отсорт.;сортировка Шелла(посл.Шелла);3600;133888
обратно отсорт.;пузырек(обычный);3700;55043741
обратно отсорт.;пузырек(айверсон-1);3700;54280563
обратно отсорт.;пузырек(айверсон-2);3700;46337413
обратно отсорт.;сортировка выбором;3700;8254119
обратно отсорт.;сортировка простыми вставками;3700;9958583
обратно отсорт.;сортировка бинарными вставками;3700;6756860
обратно отсорт.;сортировка подсчетом;3700;24731
обратно отсорт.;цифровая сортировка;3700;77348
обратно отсорт.;сортировка слиянием;3700;679324
обратно отсорт.;быстрая сортировка;3700;13718223
обратно отсорт.;пирамидальная сортировка;3700;601395
обратно отсорт.;сортировка Шелла(посл.Шелла);3700;139048
обратно отсорт.;пузырек(обычный);3800;57964788
обратно отсорт.;пузырек(айверсон-1);3800;57197716
обратно отсорт.;пузырек(айверсон-2);3800;48978050
обратно отсорт.;сортировка выбором;3800;8858914
обратно отсорт.;сортировка простыми вставками;3800;10469370
обратно отсорт.;сортировка бинарными вставками;3800;7121533
обратно отсорт.;сортировка подсчетом;3800;27203
обратно отсорт.;цифровая сортировка;3800;78021
обратно отсорт.;сортировка слиянием;3800;692186
обратно отсорт.;быстрая сортировка;3800;14494473
обратно отсорт.;пирамидальная сортировка;3800;622488
обратно отсорт.;сортировка Шелла(посл.Шелла);3800;141518
обратно отсорт.;пузырек(обычный);3900;61172211
обратно отсорт.;пузырек(айверсон-1);3900;60119326
обратно отсорт.;пузырек(айверсон-2);3900;51633723
обратно отсорт.;сортировка выбором;3900;9271570
обратно отсорт.;сортировка простыми вставками;3900;11037388
обратно отсорт.;сортировка бинарными вставками;3900;7495131
обратно отсорт.;сортировка подсчетом;3900;26515
обратно отсорт.;цифровая сортировка;3900;80085
обратно отсорт.;сортировка слиянием;3900;716479
обратно отсорт.;быстрая сортировка;3900;15304363
обратно отсорт.;пирамидальная сортировка;3900;639690
обратно отсорт.;сортировка Шелла(посл.Шелла);3900;148476
обратно отсорт.;пузырек(обычный);4000;64981443
обратно отсорт.;пузырек(айверсон-1);4000;63329975
обратно отсорт.;пузырек(айверсон-2);4000;54316813
обратно отсорт.;сортировка выбором;4000;9818074
обратно отсорт.;сортировка простыми вставками;4000;11606595
обратно отсорт.;сортировка бинарными вставками;4000;7928113
обратно отсорт.;сортировка подсчетом;4000;26401
обратно отсорт.;цифровая сортировка;4000;82205
обратно отсорт.;сортировка слиянием;4000;733811
обратно отсорт.;быстрая сортировка;4000;16042329
обратно отсорт.;пирамидальная сортировка;4000;653116
обратно отсорт.;сортировка Шелла(посл.Шелла);4000;151433
обратно отсорт.;пузырек(обычный);4100;67607993
обратно отсорт.;пузырек(айверсон-1);4100;66462150
обратно отсорт.;пузырек(айверсон-2);4100;57070891
обратно отсорт.;сортировка выбором;4100;10308363
обратно отсорт.;сортировка простыми вставками;4100;12198358
обратно отсорт.;сортировка бинарными вставками;4100;8275368
обратно отсорт.;сортировка подсчетом;4100;28806
обратно отсорт.;цифровая сортировка;4100;83924
обратно отсорт.;сортировка слиянием;4100;757445
обратно отсорт.;быстрая сортировка;4100;16891518
обратно отсорт.;пирамидальная сортировка;4100;679546
обратно отсорт.;сортировка Шелла(посл.Шелла);4100;157333
