Вид массива;Метод сортировки;Размер массива;Кол-во операций
почти отсорт. 0-4000;сортировка Шелла(посл.Шелла);400;26185
почти отсорт. 0-4000;пузырек(обычный);500;1005904
почти отсорт. 0-4000;пузырек(айверсон-1);500;1100589
почти отсорт. 0-4000;пузырек(айверсон-2);500;615134
почти отсорт. 0-4000;сортировка выбором;500;365232
почти отсорт. 0-4000;сортировка простыми вставками;500;237666
почти отсорт. 0-4000;сортировка бинарными вставками;500;215984
почти отсорт. 0-4000;сортировка подсчетом;500;26892
почти отсорт. 0-4000;цифровая сортировка;500;20465
почти отсорт. 0-4000;сортировка слиянием;500;66593
почти отсорт. 0-4000;быстрая сортировка;500;24047
почти отсорт. 0-4000;пирамидальная сортировка;500;61445
почти отсорт. 0-4000;сортировка Шелла(посл.Шелла);500;33091
почти отсорт. 0-4000;пузырек(обычный);600;1445819
почти отсорт. 0-4000;пузырек(айверсон-1);600;1576110
почти отсорт. 0-4000;пузырек(айверсон-2);600;884088
почти отсорт. 0-4000;сортировка выбором;600;524960
почти отсорт. 0-4000;сортировка простыми вставками;600;326874
почти отсорт. 0-4000;сортировка бинарными вставками;600;293684
почти отсорт. 0-4000;сортировка подсчетом;600;27660
почти отсорт. 0-4000;цифровая сортировка;600;24060
почти отсорт. 0-4000;сортировка слиянием;600;82254
почти отсорт. 0-4000;быстрая сортировка;600;30654
почти отсорт. 0-4000;пирамидальная сортировка;600;75556
почти отсорт. 0-4000;сортировка Шелла(посл.Шелла);600;42008
почти отсорт. 0-4000;пузырек(обычный);700;1966101
почти отсорт. 0-4000;пузырек(айверсон-1);700;2139131
почти отсорт. 0-4000;пузырек(айверсон-2);700;1185972
почти отсорт. 0-4000;сортировка выбором;700;713443
почти отсорт. 0-4000;сортировка простыми вставками;700;433914
почти отсорт. 0-4000;сортировка бинарными вставками;700;385821
почти отсорт. 0-4000;сортировка подсчетом;700;28428
почти отсорт. 0-4000;цифровая сортировка;700;27658
почти отсорт. 0-4000;сортировка слиянием;700;98050
почти отсорт. 0-4000;быстрая сортировка;700;38750
почти отсорт. 0-4000;пирамидальная сортировка;700;91024
почти отсорт. 0-4000;сортировка Шелла(посл.Шелла);700;48116
почти отсорт. 0-4000;пузырек(обычный);800;2573246
почти отсорт. 0-4000;пузырек(айверсон-1);800;2809143
почти отсорт. 0-4000;пузырек(айверсон-2);800;1573004
почти отсорт. 0-4000;сортировка выбором;800;930551
почти отсорт. 0-4000;сортировка простыми вставками;800;591272
почти отсорт. 0-4000;сортировка бинарными вставками;800;518554
почти отсорт. 0-4000;сортировка подсчетом;800;29196
почти отсорт. 0-4000;цифровая сортировка;800;31251
почти отсорт. 0-4000;сортировка слиянием;800;113797
почти отсорт. 0-4000;быстрая сортировка;800;50899
почти отсорт. 0-4000;пирамидальная сортировка;800;106910
почти отсорт. 0-4000;сортировка Шелла(посл.Шелла);800;60915
почти отсорт. 0-4000;пузырек(обычный);900;3252270
почти отсорт. 0-4000;пузырек(айверсон-1);900;3541192
почти отсорт. 0-4000;пузырек(айверсон-2);900;1972538
почти отсорт. 0-4000;сортировка выбором;900;1176532
почти отсорт. 0-4000;сортировка простыми вставками;900;724026
почти отсорт. 0-4000;сортировка бинарными вставками;900;631279
почти отсорт. 0-4000;сортировка подсчетом;900;29964
почти отсорт. 0-4000;цифровая сортировка;900;34845
почти отсорт. 0-4000;сортировка слиянием;900;129616
почти отсорт. 0-4000;быстрая сортировка;900;54188
почти отсорт. 0-4000;пирамидальная сортировка;900;121441
почти отсорт. 0-4000;сортировка Шелла(посл.Шелла);900;69368
почти отсорт. 0-4000;пузырек(обычный);1000;4013443
почти отсорт. 0-4000;пузырек(айверсон-1);1000;4366085
почти отсорт. 0-4000;пузырек(айверсон-2);1000;2435481
почти отсорт. 0-4000;сортировка выбором;1000;1451274
почти отсорт. 0-4000;сортировка простыми вставками;1000;883520
почти отсорт. 0-4000;сортировка бинарными вставками;1000;765477
почти отсорт. 0-4000;сортировка подсчетом;1000;30732
почти отсорт. 0-4000;цифровая сортировка;1000;38440
почти отсорт. 0-4000;сортировка слиянием;1000;145429
почти отсорт. 0-4000;быстрая сортировка;1000;61653
почти отсорт. 0-4000;пирамидальная сортировка;1000;134682
почти отсорт. 0-4000;сортировка Шелла(посл.Шелла);1000;74301
почти отсорт. 0-4000;пузырек(обычный);1100;4866440
почти отсорт. 0-4000;пузырек(айверсон-1);1100;5312854
почти отсорт. 0-4000;пузырек(айверсон-2);1100;2973929
почти отсорт. 0-4000;сортировка выбором;1100;1755112
почти отсорт. 0-4000;сортировка простыми вставками;1100;1118139
почти отсорт. 0-4000;сортировка бинарными вставками;1100;960125
почти отсорт. 0-4000;сортировка подсчетом;1100;31500
почти отсорт. 0-4000;цифровая сортировка;1100;42036
почти отсорт. 0-4000;сортировка слиянием;1100;162195
почти отсорт. 0-4000;быстрая сортировка;1100;68278
почти отсорт. 0-4000;пирамидальная сортировка;1100;153386
почти отсорт. 0-4000;сортировка Шелла(посл.Шелла);1100;89422
почти отсорт. 0-4000;пузырек(обычный);1200;5786061
почти отсорт. 0-4000;пузырек(айверсон-1);1200;6305891
почти отсорт. 0-4000;пузырек(айверсон-2);1200;3539773
почти отсорт. 0-4000;сортировка выбором;1200;2086730
почти отсорт. 0-4000;сортировка простыми вставками;1200;1301874
почти отсорт. 0-4000;сортировка бинарными вставками;1200;1114193
почти отсорт. 0-4000;сортировка подсчетом;1200;32268
почти отсорт. 0-4000;цифровая сортировка;1200;45628
почти отсорт. 0-4000;сортировка слиянием;1200;179189
почти отсорт. 0-4000;быстрая сортировка;1200;74607
почти отсорт. 0-4000;пирамидальная сортировка;1200;167952
почти отсорт. 0-4000;сортировка Шелла(посл.Шелла);1200;98039
почти отсорт. 0-4000;пузырек(обычный);1300;6796967
почти отсорт. 0-4000;пузырек(айверсон-1);1300;7419185
почти отсорт. 0-4000;пузырек(айверсон-2);1300;4161197
почти отсорт. 0-4000;сортировка выбором;1300;2447819
почти отсорт. 0-4000;сортировка простыми вставками;1300;1558035
почти отсорт. 0-4000;сортировка бинарными вставками;1300;1325957
почти отсорт. 0-4000;сортировка подсчетом;1300;33036
почти отсорт. 0-4000;цифровая сортировка;1300;49218
почти отсорт. 0-4000;сортировка слиянием;1300;196197
почти отсорт. 0-4000;быстрая сортировка;1300;89119
почти отсорт. 0-4000;пирамидальная сортировка;1300;186422
почти отсорт. 0-4000;сортировка Шелла(посл.Шелла);1300;120226
почти отсорт. 0-4000;пузырек(обычный);1400;7879488
почти отсорт. 0-4000;пузырек(айверсон-1);1400;8593724
почти отсорт. 0-4000;пузырек(айверсон-2);1400;4829103
почти отсорт. 0-4000;сортировка выбором;1400;2838260
почти отсорт. 0-4000;сортировка простыми вставками;1400;1788272
почти отсорт. 0-4000;сортировка бинарными вставками;1400;1517345
почти отсорт. 0-4000;сортировка подсчетом;1400;33804
почти отсорт. 0-4000;цифровая сортировка;1400;52810
почти отсорт. 0-4000;сортировка слиянием;1400;213204
почти отсорт. 0-4000;быстрая сортировка;1400;95652
почти отсорт. 0-4000;пирамидальная сортировка;1400;201766
почти отсорт. 0-4000;сортировка Шелла(посл.Шелла);1400;116135
почти отсорт. 0-4000;пузырек(обычный);1500;9047234
почти отсорт. 0-4000;пузырек(айверсон-1);1500;9870340
почти отсорт. 0-4000;пузырек(айверсон-2);1500;5550174
почти отсорт. 0-4000;сортировка выбором;1500;3257679
почти отсорт. 0-4000;сортировка простыми вставками;1500;2060639
почти отсорт. 0-4000;сортировка бинарными вставками;1500;1742259
почти отсорт. 0-4000;сортировка подсчетом;1500;34572
почти отсорт. 0-4000;цифровая сортировка;1500;56419
почти отсорт. 0-4000;сортировка слиянием;1500;230212
почти отсорт. 0-4000;быстрая сортировка;1500;85791
почти отсорт. 0-4000;пирамидальная сортировка;1500;218056
почти отсорт. 0-4000;сортировка Шелла(посл.Шелла);1500;126692
почти отсорт. 0-4000;пузырек(обычный);1600;10291604
почти отсорт. 0-4000;пузырек(айверсон-1);1600;11223224
почти отсорт. 0-4000;пузырек(айверсон-2);1600;6299996
почти отсорт. 0-4000;сортировка выбором;1600;3705118
почти отсорт. 0-4000;сортировка простыми вставками;1600;2332117
почти отсорт. 0-4000;сортировка бинарными вставками;1600;1966736
почти отсорт. 0-4000;сортировка подсчетом;1600;35340
почти отсорт. 0-4000;цифровая сортировка;1600;60010
почти отсорт. 0-4000;сортировка слиянием;1600;247260
почти отсорт. 0-4000;быстрая сортировка;1600;106067
почти отсорт. 0-4000;пирамидальная сортировка;1600;233609
почти отсорт. 0-4000;сортировка Шелла(посл.Шелла);1600;148802
почти отсорт. 0-4000;пузырек(обычный);1700;11607630
почти отсорт. 0-4000;пузырек(айверсон-1);1700;12637480
почти отсорт. 0-4000;пузырек(айверсон-2);1700;7064216
почти отсорт. 0-4000;сортировка выбором;1700;4181983
почти отсорт. 0-4000;сортировка простыми вставками;1700;2577882
почти отсорт. 0-4000;сортировка бинарными вставками;1700;2170684
почти отсорт. 0-4000;сортировка подсчетом;1700;36108
почти отсорт. 0-4000;цифровая сортировка;1700;63591
почти отсорт. 0-4000;сортировка слиянием;1700;264321
почти отсорт. 0-4000;быстрая сортировка;1700;103549
почти отсорт. 0-4000;пирамидальная сортировка;1700;248044
почти отсорт. 0-4000;сортировка Шелла(посл.Шелла);1700;148720
почти отсорт. 0-4000;пузырек(обычный);1800;13037218
почти отсорт. 0-4000;пузырек(айверсон-1);1800;14238819
почти отсорт. 0-4000;пузырек(айверсон-2);1800;7992777
почти отсорт. 0-4000;сортировка выбором;1800;4686893
почти отсорт. 0-4000;сортировка простыми вставками;1800;3007453
почти отсорт. 0-4000;сортировка бинарными вставками;1800;2521816
почти отсорт. 0-4000;сортировка подсчетом;1800;36876
почти отсорт. 0-4000;цифровая сортировка;1800;67176
почти отсорт. 0-4000;сортировка слиянием;1800;281342
почти отсорт. 0-4000;быстрая сортировка;1800;125747
почти отсорт. 0-4000;пирамидальная сортировка;1800;267503
почти отсорт. 0-4000;сортировка Шелла(посл.Шелла);1800;183707
почти отсорт. 0-4000;пузырек(обычный);1900;14537519
почти отсорт. 0-4000;пузырек(айверсон-1);1900;15898697
почти отсорт. 0-4000;пузырек(айверсон-2);1900;8946926
почти отсорт. 0-4000;сортировка выбором;1900;5220685
почти отсорт. 0-4000;сортировка простыми вставками;1900;3406587
почти отсорт. 0-4000;сортировка бинарными вставками;1900;2848309
почти отсорт. 0-4000;сортировка подсчетом;1900;37644
почти отсорт. 0-4000;цифровая сортировка;1900;70762
почти отсорт. 0-4000;сортировка слиянием;1900;298359
почти отсорт. 0-4000;быстрая сортировка;1900;130523
почти отсорт. 0-4000;пирамидальная сортировка;1900;286136
почти отсорт. 0-4000;сортировка Шелла(посл.Шелла);1900;162214
почти отсорт. 0-4000;пузырек(обычный);2000;16085138
почти отсорт. 0-4000;пузырек(айверсон-1);2000;17546932
почти отсорт. 0-4000;пузырек(айверсон-2);2000;9840852
почти отсорт. 0-4000;сортировка выбором;2000;5783773
почти отсорт. 0-4000;сортировка простыми вставками;2000;3658319
почти отсорт. 0-4000;сортировка бинарными вставками;2000;3056972
почти отсорт. 0-4000;сортировка подсчетом;2000;38412
почти отсорт. 0-4000;цифровая сортировка;2000;74373
почти отсорт. 0-4000;сортировка слиянием;2000;315391
почти отсорт. 0-4000;быстрая сортировка;2000;140080
почти отсорт. 0-4000;пирамидальная сортировка;2000;301085
почти отсорт. 0-4000;сортировка Шелла(посл.Шелла);2000;178763
почти отсорт. 0-4000;пузырек(обычный);2100;17718327
почти отсорт. 0-4000;пузырек(айверсон-1);2100;19298274
почти отсорт. 0-4000;пузырек(айверсон-2);2100;10810410
почти отсорт. 0-4000;сортировка выбором;2100;6376055
почти отсорт. 0-4000;сортировка простыми вставками;2100;3953893
почти отсорт. 0-4000;сортировка бинарными вставками;2100;3300940
почти отсорт. 0-4000;сортировка подсчетом;2100;39180
почти отсорт. 0-4000;цифровая сортировка;2100;77952
почти отсорт. 0-4000;сортировка слиянием;2100;333068
почти отсорт. 0-4000;быстрая сортировка;2100;144691
почти отсорт. 0-4000;пирамидальная сортировка;2100;315480
почти отсорт. 0-4000;сортировка Шелла(посл.Шелла);2100;206456
почти отсорт. 0-4000;пузырек(обычный);2200;19444061
почти отсорт. 0-4000;пузырек(айверсон-1);2200;21173653
почти отсорт. 0-4000;пузырек(айверсон-2);2200;11839692
почти отсорт. 0-4000;сортировка выбором;2200;6995568
почти отсорт. 0-4000;сортировка простыми вставками;2200;4328197
почти отсорт. 0-4000;сортировка бинарными вставками;2200;3608140
почти отсорт. 0-4000;сортировка подсчетом;2200;39948
почти отсорт. 0-4000;цифровая сортировка;2200;81544
почти отсорт. 0-4000;сортировка слиянием;2200;351185
почти отсорт. 0-4000;быстрая сортировка;2200;178090
почти отсорт. 0-4000;пирамидальная сортировка;2200;330563
почти отсорт. 0-4000;сортировка Шелла(посл.Шелла);2200;206372
почти отсорт. 0-4000;пузырек(обычный);2300;21265278
почти отсорт. 0-4000;пузырек(айверсон-1);2300;23181880
почти отсорт. 0-4000;пузырек(айверсон-2);2300;13018028
почти отсорт. 0-4000;сортировка выбором;2300;7645544
почти отсорт. 0-4000;сортировка простыми вставками;2300;4795914
почти отсорт. 0-4000;сортировка бинарными вставками;2300;3989928
почти отсорт. 0-4000;сортировка подсчетом;2300;40716
почти отсорт. 0-4000;цифровая сортировка;2300;85136
почти отсорт. 0-4000;сортировка слиянием;2300;369488
почти отсорт. 0-4000;быстрая сортировка;2300;156337
почти отсорт. 0-4000;пирамидальная сортировка;2300;355228
почти отсорт. 0-4000;сортировка Шелла(посл.Шелла);2300;209729
почти отсорт. 0-4000;пузырек(обычный);2400;23155805
почти отсорт. 0-4000;пузырек(айверсон-1);2400;25244437
почти отсорт. 0-4000;пузырек(айверсон-2);2400;14159758
почти отсорт. 0-4000;сортировка выбором;2400;8323185
почти отсорт. 0-4000;сортировка простыми вставками;2400;5226181
почти отсорт. 0-4000;сортировка бинарными вставками;2400;4341553
почти отсорт. 0-4000;сортировка подсчетом;2400;41484
почти отсорт. 0-4000;цифровая сортировка;2400;88727
почти отсорт. 0-4000;сортировка слиянием;2400;387709
почти отсорт. 0-4000;быстрая сортировка;2400;164368
почти отсорт. 0-4000;пирамидальная сортировка;2400;370783
почти отсорт. 0-4000;сортировка Шелла(посл.Шелла);2400;224750
почти отсорт. 0-4000;пузырек(обычный);2500;25101005
почти отсорт. 0-4000;пузырек(айверсон-1);2500;27317413
почти отсорт. 0-4000;пузырек(айверсон-2);2500;15303759
почти отсорт. 0-4000;сортировка выбором;2500;9029141
почти отсорт. 0-4000;сортировка простыми вставками;2500;5545813
почти отсорт. 0-4000;сортировка бинарными вставками;2500;4604896
почти отсорт. 0-4000;сортировка подсчетом;2500;42252
почти отсорт. 0-4000;цифровая сортировка;2500;92315
почти отсорт. 0-4000;сортировка слиянием;2500;405940
почти отсорт. 0-4000;быстрая сортировка;2500;192582
почти отсорт. 0-4000;пирамидальная сортировка;2500;384611
почти отсорт. 0-4000;сортировка Шелла(посл.Шелла);2500;234612
почти отсорт. 0-4000;пузырек(обычный);2600;27201137
почти отсорт. 0-4000;пузырек(айверсон-1);2600;29701584
почти отсорт. 0-4000;пузырек(айверсон-2);2600;16714289
почти отсорт. 0-4000;сортировка выбором;2600;9765639
почти отсорт. 0-4000;сортировка простыми вставками;2600;6256103
почти отсорт. 0-4000;сортировка бинарными вставками;2600;5180977
почти отсорт. 0-4000;сортировка подсчетом;2600;43020
почти отсорт. 0-4000;цифровая сортировка;2600;95885
почти отсорт. 0-4000;сортировка слиянием;2600;424241
почти отсорт. 0-4000;быстрая сортировка;2600;190800
почти отсорт. 0-4000;пирамидальная сортировка;2600;408538
почти отсорт. 0-4000;сортировка Шелла(посл.Шелла);2600;263231
почти отсорт. 0-4000;пузырек(обычный);2700;29296789
почти отсорт. 0-4000;пузырек(айверсон-1);2700;31918716
почти отсорт. 0-4000;пузырек(айверсон-2);2700;17839522
почти отсорт. 0-4000;сортировка выбором;2700;10530037
почти отсорт. 0-4000;сортировка простыми вставками;2700;6559995
почти отсорт. 0-4000;сортировка бинарными вставками;2700;5432138
почти отсорт. 0-4000;сортировка подсчетом;2700;43788
почти отсорт. 0-4000;цифровая сортировка;2700;99473
почти отсорт. 0-4000;сортировка слиянием;2700;442535
почти отсорт. 0-4000;быстрая сортировка;2700;185133
почти отсорт. 0-4000;пирамидальная сортировка;2700;422482
почти отсорт. 0-4000;сортировка Шелла(посл.Шелла);2700;263802
почти отсорт. 0-4000;пузырек(обычный);2800;31525797
почти отсорт. 0-4000;пузырек(айверсон-1);2800;34382315
почти отсорт. 0-4000;пузырек(айверсон-2);2800;19269244
почти отсорт. 0-4000;сортировка выбором;2800;11324150
почти отсорт. 0-4000;сортировка простыми вставками;2800;7146666
почти отсорт. 0-4000;сортировка бинарными вставками;2800;5908817
почти отсорт. 0-4000;сортировка подсчетом;2800;44556
почти отсорт. 0-4000;цифровая сортировка;2800;103068
почти отсорт. 0-4000;сортировка слиянием;2800;460684
почти отсорт. 0-4000;быстрая сортировка;2800;194803
почти отсорт. 0-4000;пирамидальная сортировка;2800;441953
почти отсорт. 0-4000;сортировка Шелла(посл.Шелла);2800;267668
почти отсорт. 0-4000;пузырек(обычный);2900;33769128
почти отсорт. 0-4000;пузырек(айверсон-1);2900;36735284
почти отсорт. 0-4000;пузырек(айверсон-2);2900;20572040
почти отсорт. 0-4000;сортировка выбором;2900;12147135
почти отсорт. 0-4000;сортировка простыми вставками;2900;7420952
почти отсорт. 0-4000;сортировка бинарными вставками;2900;6136277
почти отсорт. 0-4000;сортировка подсчетом;2900;45324
почти отсорт. 0-4000;цифровая сортировка;2900;106664
почти отсорт. 0-4000;сортировка слиянием;2900;478904
почти отсорт. 0-4000;быстрая сортировка;2900;204269
почти отсорт. 0-4000;пирамидальная сортировка;2900;445874
почти отсорт. 0-4000;сортировка Шелла(посл.Шелла);2900;279328
почти отсорт. 0-4000;пузырек(обычный);3000;36181383
почти отсорт. 0-4000;пузырек(айверсон-1);3000;39441426
почти отсорт. 0-4000;пузырек(айверсон-2);3000;22110226
почти отсорт. 0-4000;сортировка выбором;3000;12996558
почти отсорт. 0-4000;сортировка простыми вставками;3000;8155861
почти отсорт. 0-4000;сортировка бинарными вставками;3000;6731815
почти отсорт. 0-4000;сортировка подсчетом;3000;46092
почти отсорт. 0-4000;цифровая сортировка;3000;110215
почти отсорт. 0-4000;сортировка слиянием;3000;497261
почти отсорт. 0-4000;быстрая сортировка;3000;206334
почти отсорт. 0-4000;пирамидальная сортировка;3000;474433
почти отсорт. 0-4000;сортировка Шелла(посл.Шелла);3000;289893
почти отсорт. 0-4000;пузырек(обычный);3100;38620488
почти отсорт. 0-4000;пузырек(айверсон-1);3100;42074519
почти отсорт. 0-4000;пузырек(айверсон-2);3100;23605958
почти отсорт. 0-4000;сортировка выбором;3100;13875724
почти отсорт. 0-4000;сортировка простыми вставками;3100;8641021
почти отсорт. 0-4000;сортировка бинарными вставками;3100;7127681
почти отсорт. 0-4000;сортировка подсчетом;3100;46860
почти отсорт. 0-4000;цифровая сортировка;3100;113808
почти отсорт. 0-4000;сортировка слиянием;3100;515374
почти отсорт. 0-4000;быстрая сортировка;3100;213313
почти отсорт. 0-4000;пирамидальная сортировка;3100;493578
почти отсорт. 0-4000;сортировка Шелла(посл.Шелла);3100;370824
почти отсорт. 0-4000;пузырек(обычный);3200;41167097
почти отсорт. 0-4000;пузырек(айверсон-1);3200;44876520
почти отсорт. 0-4000;пузырек(айверсон-2);3200;25183119
почти отсорт. 0-4000;сортировка выбором;3200;14784369
почти отсорт. 0-4000;сортировка простыми вставками;3200;9279695
почти отсорт. 0-4000;сортировка бинарными вставками;3200;7646795
почти отсорт. 0-4000;сортировка подсчетом;3200;47628
почти отсорт. 0-4000;цифровая сортировка;3200;117404
почти отсорт. 0-4000;сортировка слиянием;3200;533778
почти отсорт. 0-4000;быстрая сортировка;3200;223440
почти отсорт. 0-4000;пирамидальная сортировка;3200;514398
почти отсорт. 0-4000;сортировка Шелла(посл.Шелла);3200;353174
почти отсорт. 0-4000;пузырек(обычный);3300;43816606
почти отсорт. 0-4000;пузырек(айверсон-1);3300;47833622
почти отсорт. 0-4000;пузырек(айверсон-2);3300;26852022
почти отсорт. 0-4000;сортировка выбором;3300;15722275
почти отсорт. 0-4000;сортировка простыми вставками;3300;10048871
почти отсорт. 0-4000;сортировка бинарными вставками;3300;8269410
почти отсорт. 0-4000;сортировка подсчетом;3300;48396
почти отсорт. 0-4000;цифровая сортировка;3300;120987
почти отсорт. 0-4000;сортировка слиянием;3300;552055
почти отсорт. 0-4000;быстрая сортировка;3300;285827
почти отсорт. 0-4000;пирамидальная сортировка;3300;533920
почти отсорт. 0-4000;сортировка Шелла(посл.Шелла);3300;318544
почти отсорт. 0-4000;пузырек(обычный);3400;46444188
почти отсорт. 0-4000;пузырек(айверсон-1);3400;50571345
почти отсорт. 0-4000;пузырек(айверсон-2);3400;28328624
почти отсорт. 0-4000;сортировка выбором;3400;16686854
почти отсорт. 0-4000;сортировка простыми вставками;3400;10324415
почти отсорт. 0-4000;сортировка бинарными вставками;3400;8497903
почти отсорт. 0-4000;сортировка подсчетом;3400;49164
почти отсорт. 0-4000;цифровая сортировка;3400;124565
почти отсорт. 0-4000;сортировка слиянием;3400;570257
почти отсорт. 0-4000;быстрая сортировка;3400;240268
почти отсорт. 0-4000;пирамидальная сортировка;3400;541509
почти отсорт. 0-4000;сортировка Шелла(посл.Шелла);3400;342168
почти отсорт. 0-4000;пузырек(обычный);3500;49268587
почти отсорт. 0-4000;пузырек(айверсон-1);3500;53745917
почти отсорт. 0-4000;пузырек(айверсон-2);3500;30182446
почти отсорт. 0-4000;сортировка выбором;3500;17681933
почти отсорт. 0-4000;сортировка простыми вставками;3500;11200040
почти отсорт. 0-4000;сортировка бинарными вставками;3500;9206735
почти отсорт. 0-4000;сортировка подсчетом;3500;49932
почти отсорт. 0-4000;цифровая сортировка;3500;128156
почти отсорт. 0-4000;сортировка слиянием;3500;588518
почти отсорт. 0-4000;быстрая сортировка;3500;277782
почти отсорт. 0-4000;пирамидальная сортировка;3500;566763
почти отсорт. 0-4000;сортировка Шелла(посл.Шелла);3500;342209
почти отсорт. 0-4000;пузырек(обычный);3600;52138396
почти отсорт. 0-4000;пузырек(айверсон-1);3600;56903122
почти отсорт. 0-4000;пузырек(айверсон-2);3600;31988938
почти отсорт. 0-4000;сортировка выбором;3600;18706309
почти отсорт. 0-4000;сортировка простыми вставками;3600;11918720
почти отсорт. 0-4000;сортировка бинарными вставками;3600;9789313
почти отсорт. 0-4000;сортировка подсчетом;3600;50700
почти отсорт. 0-4000;цифровая сортировка;3600;131756
почти отсорт. 0-4000;сортировка слиянием;3600;606729
почти отсорт. 0-4000;быстрая сортировка;3600;267807
почти отсорт. 0-4000;пирамидальная сортировка;3600;588411
почти отсорт. 0-4000;сортировка Шелла(посл.Шелла);3600;406651
почти отсорт. 0-4000;пузырек(обычный);3700;54987072
почти отсорт. 0-4000;пузырек(айверсон-1);3700;59843327
почти отсорт. 0-4000;пузырек(айверсон-2);3700;33505730
почти отсорт. 0-4000;сортировка выбором;3700;19757672
почти отсорт. 0-4000;сортировка простыми вставками;3700;12147733
почти отсорт. 0-4000;сортировка бинарными вставками;3700;9980830
почти отсорт. 0-4000;сортировка подсчетом;3700;51468
почти отсорт. 0-4000;цифровая сортировка;3700;135329
почти отсорт. 0-4000;сортировка слиянием;3700;625066
почти отсорт. 0-4000;быстрая сортировка;3700;263703
почти отсорт. 0-4000;пирамидальная сортировка;3700;594017
почти отсорт. 0-4000;сортировка Шелла(посл.Шелла);3700;367735
почти отсорт. 0-4000;пузырек(обычный);3800;57986906
почти отсорт. 0-4000;пузырек(айверсон-1);3800;63083404
почти отсорт. 0-4000;пузырек(айверсон-2);3800;35362037
почти отсорт. 0-4000;сортировка выбором;3800;20838399
почти отсорт. 0-4000;сортировка простыми вставками;3800;12748535
почти отсорт. 0-4000;сортировка бинарными вставками;3800;10468742
почти отсорт. 0-4000;сортировка подсчетом;3800;52236
почти отсорт. 0-4000;цифровая сортировка;3800;138901
почти отсорт. 0-4000;сортировка слиянием;3800;643276
почти отсорт. 0-4000;быстрая сортировка;3800;300637
почти отсорт. 0-4000;пирамидальная сортировка;3800;612216
почти отсорт. 0-4000;сортировка Шелла(посл.Шелла);3800;386693
почти отсорт. 0-4000;пузырек(обычный);3900;61212683
почти отсорт. 0-4000;пузырек(айверсон-1);3900;66847710
почти отсорт. 0-4000;пузырек(айверсон-2);3900;37625452
почти отсорт. 0-4000;сортировка выбором;3900;21951134
почти отсорт. 0-4000;сортировка простыми вставками;3900;14095050
почти отсорт. 0-4000;сортировка бинарными вставками;3900;11553894
почти отсорт. 0-4000;сортировка подсчетом;3900;53004
почти отсорт. 0-4000;цифровая сортировка;3900;142472
почти отсорт. 0-4000;сортировка слиянием;3900;661455
почти отсорт. 0-4000;быстрая сортировка;3900;276025
почти отсорт. 0-4000;пирамидальная сортировка;3900;642127
почти отсорт. 0-4000;сортировка Шелла(посл.Шелла);3900;399654
почти отсорт. 0-4000;пузырек(обычный);4000;64235757
почти отсорт. 0-4000;пузырек(айверсон-1);4000;69850307
почти отсорт. 0-4000;пузырек(айверсон-2);4000;39096849
почти отсорт. 0-4000;сортировка выбором;4000;23091239
почти отсорт. 0-4000;сортировка простыми вставками;4000;14044050
почти отсорт. 0-4000;сортировка бинарными вставками;4000;11520558
почти отсорт. 0-4000;сортировка подсчетом;4000;53772
почти отсорт. 0-4000;цифровая сортировка;4000;146061
почти отсорт. 0-4000;сортировка слиянием;4000;679683
почти отсорт. 0-4000;быстрая сортировка;4000;277745
почти отсорт. 0-4000;пирамидальная сортировка;4000;641497
почти отсорт. 0-4000;сортировка Шелла(посл.Шелла);4000;406294
почти отсорт. 0-4000;пузырек(обычный);4100;67532610
почти отсорт. 0-4000;пузырек(айверсон-1);4100;73520642
почти отсорт. 0-4000;пузырек(айверсон-2);4100;41168257
почти отсорт. 0-4000;сортировка выбором;4100;24256621
почти отсорт. 0-4000;сортировка простыми вставками;4100;14977947
почти отсорт. 0-4000;сортировка бинарными вставками;4100;12275338
почти отсорт. 0-4000;сортировка подсчетом;4100;54540
почти отсорт. 0-4000;цифровая сортировка;4100;149669
почти отсорт. 0-4000;сортировка слиянием;4100;697896
почти отсорт. 0-4000;быстрая сортировка;4100;318691
почти отсорт. 0-4000;пирамидальная сортировка;4100;660768
почти отсорт. 0-4000;сортировка Шелла(посл.Шелла);4100;642103
обратно отсорт.;пузырек(обычный);50;10681
обратно отсорт.;пузырек(айверсон-1);50;13129
обратно отсорт.;пузырек(айверсон-2);50;8470
обратно отсорт.;сортировка выбором;50;4482
обратно отсорт.;сортировка простыми вставками;50;6210
обратно отсорт.;сортировка бинарными вставками;50;6372
обратно отсорт.;сортировка подсчетом;50;23436
обратно отсорт.;цифровая сортировка;50;4249
обратно отсорт.;сортировка слиянием;50;4455
обратно отсорт.;быстрая сортировка;50;4049
обратно отсорт.;пирамидальная сортировка;50;3239
обратно отсорт.;сортировка Шелла(посл.Шелла);50;1595
обратно отсорт.;пузырек(обычный);100;42961
обратно отсорт.;пузырек(айверсон-1);100;52657
обратно отсорт.;пузырек(айверсон-2);100;33742
обратно отсорт.;сортировка выбором;100;17370
обратно отсорт.;сортировка простыми вставками;100;24426
обратно отсорт.;сортировка бинарными вставками;100;23066
обратно отсорт.;сортировка подсчетом;100;23820
обратно отсорт.;цифровая сортировка;100;6025
обратно отсорт.;сортировка слиянием;100;10082
обратно отсорт.;быстрая сортировка;100;15305
обратно отсорт.;пирамидальная сортировка;100;7859
